KP_id,film_name,vote
1227967,Веном 2,4
678549,Миссия невыполнима: Племя изгоев,8
678552,007: СПЕКТР,7
258475,Квант милосердия,6
49844,Казино Рояль,8
522892,Иллюзия обмана,7
834394,В центре внимания,9
78753,Мост в Терабитию,9
843479,Фантастические твари: Преступления Грин-де-Вальда,5
902939,Малыш на драйве,7
818981,Реальные упыри,8
841470,Смешарики. Дежавю,7
840161,Смешарики. Легенда о золотом драконе,6
409424,Дюна,8
1048563,Пылающий,7
963343,Форма голоса,9
82441,Человек-паук 3: Враг в отражении,7
2898,Человек-паук 2,9
838,Человек-паук,8
570117,Смешарики. Начало,8
229938,Футурама: Большой куш Бендера!,9
589290,Бегущий по лезвию 2049,10
276598,Драйв,9
623721,Неоновый демон,9
386,Чужой,9
408871,007: Координаты «Скайфолл»,9
408876,Хоббит: Пустошь Смауга,8
512883,Как приручить дракона 2,8
278522,Хоббит: Нежданное путешествие,8
7908,В поисках Немо,9
38903,Суперсемейка,8
1080513,Вперёд,8
846824,История игрушек 4,8
158786,Жизнь Пи,8
463897,Приключения Паддингтона,8
807682,Логан,9
716891,Монстры на каникулах 2,7
280174,Монстры на каникулах,7
41956,Конец Евангелиона,10
526,Большой куш,8
25108,В бой идут одни «старики»,8
342,Криминальное чтиво,10
926540,Миссия невыполнима: Последствия,8
472362,Миссия невыполнима: Протокол Фантом,8
958722,Твоё имя,7
75871,Олдбой,7
195332,Симпсоны в кино,8
906042,Приключения Паддингтона 2,9
261363,SuperПерцы,7
843480,Лего Фильм: Бэтмен,8
426053,Ранго,9
938644,Фаворитка,7
692957,В поисках Дори,7
468904,Университет монстров,8
49166,Коралина в Стране Кошмаров,8
84049,Рапунцель: Запутанная история,8
586260,Ральф,8
405,История игрушек 2,9
462938,Мой парень – псих,8
397494,Район №9,8
471644,ЛЕГО Фильм,9
713465,Снупи и мелочь пузатая в кино,10
577488,Она,10
164089,Маленькая мисс Счастье,10
65770,Воспоминания об убийстве,8
841152,Славные парни,9
493208,Холодное сердце,7
258328,История игрушек: Большой побег,10
2428,Ведьмина служба доставки,8
1846,Небесный замок Лапута,9
471,Крепкий орешек,8
707,Ледниковый период,8
6877,Терминал,8
689066,Стражи Галактики,9
482,История игрушек,9
5928,Один дома 2: Затерянный в Нью-Йорке,7
325381,Вверх,10
5273,Шрэк 2,10
441,Принцесса Мононоке,9
8124,Один дома,8
957887,Клаус,9
2360,Король Лев,9
377,Семь,9
823956,Чёрная Вдова,6
8221,Мой сосед Тоторо,9
458,Корпорация монстров,9
351,Красота по-американски,10
1209193,El Camino: Во все тяжкие,7
41520,Брат 2,8
126196,Жизнь других,9
279102,ВАЛЛ·И,9
988782,Ральф против интернета,7
623250,Чёрная Пантера,6
280172,Как приручить дракона,9
1091,Люди в черном,8
950968,Монстры на каникулах 3: Море зовёт,5
89514,Рататуй,9
722827,Бёрдмэн,9
2717,Убить Билла,8
841081,Ла-Ла Ленд,10
371,Спасти рядового Райана,9
45028,Курьер,8
427076,Пираты Карибского моря: На странных берегах,6
507,Терминатор,8
522941,Выживший,9
931677,Дюнкерк,8
841263,Стражи Галактики. Часть 2,8
819846,Лобстер,9
976642,Последний богатырь,6
409,Сияние,9
418,Цельнометаллическая оболочка,9
444,Терминатор 2: Судный день,9
571,Схватка,9
86621,Бесподобный мистер Фокс,9
453406,Безумный Макс: Дорога ярости,9
47040,Возвращение,9
41519,Брат,8
837530,Моана,7
430,Шрэк,8
394,Бешеные псы,9
276295,Залечь на дно в Брюгге,9
312,Властелин колец: Две крепости,10
575180,Пираты Карибского моря: Мертвецы не рассказывают сказки,5
1044450,Форсаж: Хоббс и Шоу,6
453397,Оно,7
2213,Титаник,8
196604,Нефть,9
1171976,1917,9
102124,Пираты Карибского моря: На краю света,7
894027,Форсаж 8,5
93377,Типа крутые легавые,9
3498,Властелин колец: Возвращение короля,9
49684,Ходячий замок,8
586397,Джанго освобожденный,8
251733,Аватар,7
920265,Человек-паук: Через вселенные,9
463634,Веном,4
1225587,Серебряные коньки,7
944098,"Три билборда на границе Эббинга, Миссури",9
389,Леон,9
325,Крестный отец,9
726838,Кролик Джоджо,9
252641,Хранители,6
843859,Капитан Марвел,5
822709,Тор: Рагнарёк,7
571892,Королевство полной луны,8
63991,Пираты Карибского моря: Сундук мертвеца,9
9691,Бесславные ублюдки,9
690593,Человек-паук: Возвращение домой,7
939785,Остров собак,9
435,Зеленая миля,9
350,Славные парни,8
345,Молчание ягнят,9
358,Таксист,8
679486,Тайна Коко,9
1047883,Однажды в… Голливуде,9
725190,Одержимость,9
370,Унесённые призраками,10
328,Властелин колец: Братство Кольца,10
4374,Пираты Карибского моря: Проклятие Черной жемчужины,9
775273,Душа,9
964318,Форсаж 9,5
467293,Грязь,7
102474,Борат,8
842037,Я худею,5
361,Бойцовский клуб,10
662596,Бойфренд из будущего,8
1249172,Последний богатырь: Корень зла,6
501333,Игра на понижение,8
692861,Исчезнувшая,10
1109271,Майор Гром: Чумной Доктор,6
835086,Ford против Ferrari,9
1387021,Лига справедливости Зака Снайдера,7
455194,Пленницы,8
1188529,Достать ножи,9
1236063,Довод,7
102838,Зодиак,9
